Order,Family,Genus,Scientific Name,Common Name,Maximum Total Length (cm),Body Depth (% TL),Body Shape,Aspect Ratio,Caudal Peduncle Throttling,Pectoral Fin Vertical Position,Pectoral Fin Size,Vertical Eye Position,Eye Size (%HL),Reference: MTL,Reference: BD,Reference: BS,Reference: AR,Reference: CPT,Reference: PFVP,Reference: PFS,Reference: VEP,Reference: ES
Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,Lake Sturgeon,274,12.56,elongated,2.342163121,4.662817,0,0.1572513,0.429329131,7.58,FishBase,DB using photo from FishBase (n=1),FishBase,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus,Atlantic Sturgeon,403,10.75,elongated,1.241632653,5.149833,0,NA,0.265423929,12.7,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,Bleak,25,19.8,fusiform,1.58908,1.942322,0.2766026,0.1521917,0.559971056,24.95,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Clupeiformes,Clupeidae,Alosa,Alosa aestivalis,Blueback Herring,47.12,22.3,fusiform,2.89563,2.618602,0.2311674,0.1500298,0.624851795,20.5,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Clupeiformes,Clupeidae,Alosa,Alosa chrysochloris,Skipjack herring,59.85,22.6,fusiform,3.36921,2.570927,0.1881404,0.1465985,0.652789513,19.2,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,Alewife,51.28,25.03,fusiform,1.83146,2.666675,0.1997911,0.1275128,0.608067173,27.9,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,American Shad,76,25.1,fusiform,2.30287,3.793901,0.1813679,0.1630295,0.552868003,26.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Centrarchidae,Ambloplites,Ambloplites rupestris,Rock Bass,43,33.3,short/deep,1.04705,2.313312,0.3422356,0.1966284,0.524442688,26.4,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus,White Catfish,95,18.7,elongated,1.105,2.376083,0.2738726,0.1777031,0.510909129,14.3,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas,Black Bullhead,66,28.5,elongated,1.279,2.2136,0.3894973,0.1571553,0.48507337,14,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus natalis,Yellow Bullhead,60,15.9,elongated,0.868,1.885353,0.3009347,0.1612647,0.685748816,8,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus,Brown Bullhead,55,19.6,elongated,1.503,1.839311,0.347816,0.1532494,0.463754674,11.9,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Amiiformes,Amiidae,Amia,Amia calva,Bowfin ,109,19.45,elongated,0.973,1.364757,0.2034319,0.566364057,0.566364057,15.7,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Perciformes,Percidae,Ammocrypta,Ammocrypta clara,Western Sand Darter,7.1,9.8,elongated,NA,1.933788,0.4254667,0.1473782,0.425466729,28.6,FishBase,DB using photo from FishBase (n=1),DB,NA,FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Perciformes,Percidae,Ammocrypta,Ammocrypta pellucida,Eastern Sand Darter,8.4,11.9,elongated,NA,0.9501,0.4861252,0.2045024,0.679314721,18.6,FishBase,DB using photo from FishBase (n=1),DB,NA,FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,American Eel,152,6.8,eel-like,NA,NA,NA,NA,0.511278195,7.2,FishBase,FishBase (n=1),FishBase,NA,NA,NA,NA,DB using photo provided by TP (n=1),FishBase (n=1)
Gasterosteiformes,Gasterosteidae,Apeltes,Apeltes quadracus,Fourspine Stickleback,6.4,17.9,fusiform,1.34716,6.886308,0.5343943,0.1479389,0.509048711,29.5,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Percopsiformes,Aphredoderidae,Aphredoderus,Aphredoderus sayanus,Pirate Perch,14,31.5,fusiform,1.06535,2.404762,0.4096443,0.1795612,0.581351168,20.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Acanthuriformes,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,95,26.9,fusiform,1.0344,2.734043,0.4109937,0.2233932,0.437381228,29.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Atheriniformes,Atherinidae,Atherina,Atherina boyeri,Big-scale Sand Smelt,20,16.5,elongated,1.19972,3.428571,0.7254721,0.1773881,0.725472123,43.9,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Gobiiformes,Gobiidae,Babka,Babka gymnotrachelus,Racer Goby,16.2,14.8,elongated,0.521077,1.856119,0.7231503,0.2434887,0.87608807,16.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Gobiiformes,Gobiidae,Benthophilus,Benthophilus stellatus,Starry Goby,6.5,23.85,elongated,1.080225,1.872340426,0.440366972,0.2,0.669724771,29.2,FishBase,FishBase (n=2),FishBase,FishBase (n=2),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=2)
Cypriniformes,Leuciscidae,Campostoma,Campostoma anomalum,Central Stoneroller,22,22.2,fusiform,2.11111,2.452906,0.2295423,0.153619,0.540899385,12.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Campostoma,Campostoma oligolepis,Largescale Stoneroller,22,20,fusiform,0.883368,2.269096,0.1887432,0.1294095,0.433969409,18.6,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Carassius,Carassius auratus,Goldfish,48,26.27,fusiform,1.94735,2.28285,0.210318,0.1805066,0.438711954,24.87,FishBase,FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=3)
Cypriniformes,Cyprinidae,Carassius,Carassius carassius,Crucian Carp,64,35.15,fusiform,1.15376,1.701819,0.270875,0.1823613,0.524307878,19.95,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Cypriniformes,Catostomidae,Carpiodes,Carpiodes cyprinus,Quillback,66,27.5,fusiform,2.2835,2.748488,0.09278815,0.1917334,0.438339662,21.6,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Catostomidae,Catostomus,Catostomus catostomus,Longnose Sucker,64,14.9,elongated,1.221,2.322806,0.2185866,0.1137682,0.484823034,13.8,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii,White Sucker,65,18,elongated,1.591,2.546542,0.1712478,0.1869124,0.500010462,21.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Anabantiformes,Channidae,Channa,Channa argus,Northern Snakehead,100,12.7,elongated,1.0941,2.268155,0.4075703,0.1104603,0.43519375,12.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Chrosomus,Chrosomus eos,Northern Redbelly Dace,8,16.7,fusiform,1.14853,1.945501,0.3170758,0.1785445,0.563387869,27.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Chrosomus,Chrosomus erythrogaster,Southern Redbelly Dace,9.1,21.7,fusiform,3.09883,2.313126,0.2286143,0.1640363,0.5051697,25.8,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Chrosomus,Chrosomus neogaeus,Finescale Dace,11,20.5,fusiform,1.153,2.180951,0.2472318,0.1734265,0.537223127,28,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Clinostomus,Clinostomus elongatus,Redside Dace,12,16.4,fusiform,0.961269,2.25,0.192077,0.1735683,0.500070509,27,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Clupeiformes,Clupeidae,Clupeonella,Clupeonella cultriventris,Sea Sprat,14.5,18.6,fusiform,2.27129,2.599453,0.2745195,0.1491564,0.686288009,15.1,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Coregonus,Coregonus artedi,Lake Herring,57,20.1,fusiform,2.73001,3.84892,0.2898195,0.1365519,0.522303463,21.1,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Coregonus,Coregonus clupeaformis,Lake Whitefish,100,21.7,fusiform,1.80184,2.60585,0.2623742,0.197423,0.524754826,21.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Coregonus,Coregonus hoyi,Bloater,37,20.5,fusiform,5.41623,2.96674,0.3162611,0.1564314,0.635549764,30.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Coregonus,Coregonus kiyi,Kiyi,35,19.8,fusiform,1.56061,3.193548,0.3214296,0.1849361,0.651057111,30.6,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Coregonus,Coregonus nigripinnis,Blackfin Cisco,39,23.1,fusiform,3.85951,4.315868,0.2622446,0.1788828,0.559089363,24.8,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Coregonus,Coregonus reighardi,Shortnose Cisco,36,22.9,fusiform,NA,4.313672,0.3194538,0.1442434,0.616641759,25.9,FishBase,DB using photo from FishBase (n=1),FishBase, (tail not in good condition),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Salmoniformes,Salmonidae,Coregonus,Coregonus zenithicus,Shortjaw Cisco,40,22.1,fusiform,2.93415,3.115711,0.275373,0.1240215,0.576071966,27,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Scorpaeniformes,Cottidae,Cottus,Cottus bairdii,Mottled Sculpin,15,18,elongated,1.18233,2.676038,0.7518719,0.2987454,0.75187192,27.3,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Scorpaeniformes,Cottidae,Cottus,Cottus cognatus,Slimy Sculpin,12.1,14.1,elongated,0.89001,1.885733,0.6147836,0.2951939,0.647497918,20.3,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Scorpaeniformes,Cottidae,Cottus,Cottus gobio,Bullhead (cottus gobio),18,17.85,fusiform,1.21842,2.699278,0.4973345,0.2298323,0.702836958,13.15,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Scorpaeniformes,Cottidae,Cottus,Cottus ricei,Spoonhead Sculpin,13.4,15.3,elongated,0.899055,3.382374,0.6291683,0.2226397,0.826276596,15.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Couesius,Couesius plumbeus,Lake Chub,23,18,fusiform,1.2788,2.749895,0.2208398,0.181659,0.468754427,25.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,Grass Carp,150,22.43,fusiform,1.81455,2.28158,0.2268645,0.1781119,0.398785288,15.63,FishBase,FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=3)
Gasterosteiformes,Gasterosteidae,Culaea,Culaea inconstans,Brook Stickleback,8.7,18.5,fusiform,1.52301,5.065428,0.4090923,0.1836751,0.436867916,27.8,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella analostana,Satinfin Shiner,11,21.3,fusiform,2.553636364,2.811663,0.1878781,0.1627291,0.491922529,28.4,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella lutrensis,Red Shiner,9.3,25.1,fusiform,1.71603,3.221513,0.2064412,0.1922501,0.431196217,30,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella spiloptera,Spotfin Shiner,12,22,fusiform,1.40446,2.716643,0.1991651,0.1713893,0.553650553,25.5,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella whipplei,Steelcolor Shiner,16,19.5,fusiform,1.69889,2.505349,0.2242704,0.1793861,0.545951868,19.1,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,Common Carp,120,33.55,fusiform,1.88205,2.637145,0.2580209,0.1786564,0.510936185,17.6,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Clupeiformes,Clupeidae,Dorosoma,Dorosoma cepedianum,Gizzard Shad,61.9,32.3,fusiform,2.22035,3.314939,0.287959,0.1804924,0.478791768,20,FishBase (Converted FL to TL using equation on FishBase),FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Centrarchidae,Enneacanthus,Enneacanthus gloriosus,Bluespotted Sunfish,9.5,34.5,short/deep,1.42865,1.944444,0.2910827,0.2262797,0.530614596,28.1,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Erimystax,Erimystax x-punctatus,Gravel Chub,11,18.1,fusiform,1.4787,2.454633,0.3581002,0.1720025,0.535546487,25.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Catostomidae,Erimyzon,Erimyzon oblongus,Creek Chubsucker,37.6,27.6,fusiform,1.54593,2.328968,0.1744617,0.2064792,0.532682945,18.7,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Catostomidae,Erimyzon,Erimyzon sucetta,Lake Chubsucker,41,21.6,fusiform,0.933131,2.400814,0.1354065,0.1889053,0.461644924,28.7,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Esociformes,Esocidae,Esox,Esox americanus ,American Pickerel,40.82,14.75,elongated,1.054183007,2.237456,0.1557826,0.08835605,0.744244822,13,FishBase (Converted FL to TL using equation on FishBase),DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Esociformes,Esocidae,Esox,Esox lucius,Northern Pike,150,14.2,elongated,1.3903,2.459067,0.1650109,0.1062315,0.621035943,10.2,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Esociformes,Esocidae,Esox,Esox masquinongy,Muskellunge,183,18.2,elongated,2.26922,2.723834,0.07220667,0.09117977,0.566998037,18.3,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Esociformes,Esocidae,Esox,Esox niger,Chain Pickerel,99,14.6,elongated,2.24816,2.947443,0.1058774,0.09352879,0.500395009,14.9,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma blennioides,Greenside Darter,17,14.5,fusiform,1.596,2.141548,0.5087325,0.2841153,0.594983726,21.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma caeruleum,Rainbow Darter,7.7,20.8,fusiform,1.444,2.853544,0.3931792,0.2681926,0.603726159,25.6,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma chlorosomum,Bluntnose Darter,6,11,elongated,NA,1.898616,0.4277516,0.1850409,0.655609935,24.9,FishBase,DB using photo from FishBase (n=1),FishBase,NA,FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma exile,Iowa Darter,7.2,15.8,elongated,0.748,3.028297,0.4745443,0.2470371,0.573609863,25,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma flabellare,Fantail Darter,8.4,16.7,elongated,0.51,2.329291,0.4323097,0.2497831,0.506646762,24.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma microperca,Least Darter,4.4,17.5,elongated,1.221,2.971154,0.3975052,0.2290961,0.650001923,28.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma nigrum,Johnny Darter,7.2,13.6,elongated,0.63,2.64005,0.4406415,0.2202342,0.603186296,27.1,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma olmstedi,Tessellated Darter,11,13.9,elongated,0.92,2.364298,0.3404939,0.2830852,0.486910139,19.1,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma spectabile,Orangethroat Darter,7.2,20,fusiform,0.901,2.496838,0.3858136,0.2604681,0.575635278,17.3,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Etheostoma,Etheostoma zonale,Banded Darter,7.8,15.6,fusiform,1.746,2.497842,0.4634041,0.2659107,0.618890756,23.1,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Exoglossum,Exoglossum laurae,Tonguetied Minnow,16,22,fusiform,2.342163121,2.191997,0.3287685,0.1996651,0.671467602,21.63,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Cypriniformes,Leuciscidae,Exoglossum,Exoglossum maxillingua,Cutlips Minnow,16,19.8,fusiform,1.38572,1.969072,0.3213502,0.1469782,0.599527324,26.1,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
