Order,Family,Genus,Scientific Name,Common Name,Maximum Total Length (cm),Body Depth (% TL),Body Shape,Aspect Ratio,Caudal Peduncle Throttling,Pectoral Fin Vertical Position,Pectoral Fin Size,Vertical Eye Position,Eye Size (%HL),Reference: MTL,Reference: BD,Reference: BS,Reference: AR,Reference: CPT,Reference: PFVP,Reference: PFS,Reference: VEP,Reference: ES
Cypriniformes,Leuciscidae,Notropis,Notropis blennius,River Shiner,13,17.1,elongated,1.55581,2.551493,0.2132353,0.2124952,0.485308824,31.3,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis boops,Bigeye Shiner,9,16.7,elongated,1.56255,2.881068,0.246432,0.1745307,0.588241998,39.3,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis buccatus,Silverjaw Minnow,9.8,16.2,elongated,1.61035,2.721643,0.3134864,0.1859838,0.597173697,26.8,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis chalybaeus,Ironcolor Shiner,6.5,15.8,elongated,1.50387,3.067147,0.2820501,0.1737991,0.538550157,32.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis dorsalis,Bigmouth Shiner,8,18.1,elongated,0.967613,2.205719,0.3309859,0.1442777,0.592741784,26.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis heterodon,Blackchin Shiner,7.1,16.8,elongated,1.27467,2.842961,0.1915638,0.199706,0.462795213,40.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis heterolepis,Blacknose Shiner,9.8,14.4,elongated,1.60734,2.85372,0.3179935,0.1694709,0.531356294,28.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis hudsonius,Spottail Shiner,15,14.6,elongated,1.9773,3.015402,0.2781888,0.1783625,0.577618018,29,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis photogenis,Silver Shiner,14,14.6,elongated,1.43777,3.204918,0.2412222,0.1535006,0.585904968,28.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis procne,Swallowtail Shiner,7.2,15.8,elongated,2.188375,3.41164,0.3181764,0.1581644,0.551155378,28.7,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis rubellus,Rosyface Shiner,11,15.23,elongated,2.135873,2.834847,0.2564365,0.1789251,0.54699033,24.09,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis stramineus,Sand Shiner,8.2,17.2,fusiform,1.19528,2.623525,0.2637459,0.162641,0.530547179,28.4,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis texanus,Weed Shiner,8.6,18.1,fusiform,1.70363,2.520552,0.2827846,0.1864564,0.504110622,35.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Notropis,Notropis volucellus,Mimic Shiner,7.6,18.5,elongated,2.15187,2.963439,0.3100584,0.1680986,0.56716108,30.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Noturus,Noturus flavus,Stonecat,31,12.07,elongated,0.624808,1.79763,0.4123202,0.1671639,0.586166815,19.2,FishBase,DB using photo from FishBase (n=1),FishBase,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Siluriformes,Ictaluridae,Noturus,Noturus gyrinus,Tadpole Madtom,13,21.1,elongated,0.691,1.468282,0.4065548,0.1694484,0.565012387,13.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Noturus,Noturus miurus,Brindled Madtom,13,19.7,elongated,0.674,1.783658,0.2368552,0.1878966,0.56022652,20.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Noturus,Noturus stigmosus,Northern Madtom,13,20.6,elongated,0.621,1.906342,0.2693492,0.1639458,0.614640142,15.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Cutthroat Trout,99,19.75,fusiform,2.133,2.274087,0.2953722,0.1301689,0.657989198,17.05,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Pink Salmon,76,22.8,fusiform,2.487,3.834029,0.2279174,0.142362,0.490702692,12.3,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Chum Salmon,100,26.3,fusiform,2.649,3.118909,0.2402426,0.1533747,0.575092434,9.6,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Coho Salmon,108,24.1,fusiform,2.161,2.717115,0.2573605,0.1537003,0.569324567,10.1,FishBase,FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=3)
Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Rainbow Trout,122,22.4,fusiform,1.673,2.650049,0.2435354,0.1559702,0.603331072,18,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Sockeye Salmon,84,25.9,fusiform,2.507,3.864039,0.2266851,0.1639218,0.605853137,10.3,FishBase,FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=3)
Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Chinook Salmon,150,21.5,fusiform,1.637,3.091759,0.2177707,0.1493911,0.520788792,10.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Opsopoeodus,Opsopoeodus emiliae,Pugnose Minnow,6.6,19.7,elongated,3.98399,3.570189,0.2459086,0.1499609,0.494115073,27.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Osmeriformes,Osmeridae,Osmerus,Osmerus eperlanus,Smelt,45,16.6,elongated,1.71236,2.735099338,0.213213213,0.151631478,0.612612613,16.3,FishBase,FishBase (n=1),FishBase,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,Rainbow Smelt,35.6,12.9,elongated,2.34105,2.911764706,0.196969697,0.151653364,0.515151515,24,FishBase,FishBase (n=1),FishBase,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Perciformes,Percidae,Perca,Perca flavescens,Yellow Perch,50,23.4,fusiform,1.23413,1.860759494,0.353276353,0.163565891,0.492877493,19.5,FishBase,FishBase (n=1),DB,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Perciformes,Percidae,Perca,Perca fluviatilis,Eurasian Perch,67.64,25.85,fusiform,1.39721,2.201612903,0.318936877,0.148292683,0.465116279,20.7,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=2),FishBase,FishBase (n=2),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=2)
Gobiiformes,Odontobutidae,Perccottus,Perccottus glenii,Amur Sleeper,25,26.1,fusiform,1.49711,2.5,0.43452381,0.214285714,0.511904762,16.1,FishBase,FishBase (n=1),DB,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Perciformes,Percidae,Percina,Percina caprodes,Logperch,18,14.1,elongated,1.053,2.804878049,0.467105263,0.139556377,0.598684211,23.9,FishBase,FishBase (n=1),FishBase,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Perciformes,Percidae,Percina,Percina copelandi,Channel Darter,7.2,13.19,elongated,0.8464,1.586206897,0.456140351,0.164864865,0.438596491,26.9,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1)
Perciformes,Percidae,Percina,Percina evides,Gilt Darter,9.6,19,fusiform,NA,1.990384615,0.489473684,0.199556541,0.526315789,21,FishBase,DB using photo from FishBase (n=1),DB,NA,DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1)
Perciformes,Percidae,Percina,Percina macualta,Blackside Darter,11,17.2,elongated,0.841,1.68115942,0.327160494,0.211111111,0.388888889,23.7,FishBase,FishBase (n=1),DB,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Perciformes,Percidae,Percina,Percina phoxocephala,Slenderhead Darter,9.6,17.4,elongated,1.64,2.050505051,0.403409091,NA,0.744318182,35.1,FishBase,FishBase (n=1),DB,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),NA,DB using photo from FishBase (n=1),FishBase (n=1)
Perciformes,Percidae,Percina,Percina shumardi,River Darter,7.8,15,elongated,1.51,1.426966292,0.537414966,0.260047281,0.537414966,29.5,FishBase,FishBase (n=1),DB,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Percopsiformes,Percopsidae,Percopsis,Percopsis omiscomaycus,Trout-perch,20,17.4,fusiform,1.34963,3.41636,0.2272254,0.203749,0.498044927,29.6,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Petromyzontiformes,Petromyzontidae,Petromyzon,Petromyzon marinus,Sea Lamprey,12,7.2,eel-like,0.809,1.524390244,NA,NA,0.589285714,4.5,FishBase,FishBase (n=1),FishBase,FishBase (n=1),DB using photo from FishBase (n=1),NA,NA,DB using photo from FishBase (n=1),FishBase (n=1)
Cypriniformes,Cyprinidae,Phenacobius,Phenacobius mirabilis,Suckermouth Minnow,12,17.2,elongated,1.56884,2.451021,0.2267094,0.1740219,0.558431964,19.8,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Phoxinus,Phoxinus phoxinus,Eurasian Minnow,14,19.35,fusiform,1.0681,2.332147,0.2620416,0.1519016,0.453321275,21.7,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Cypriniformes,Cyprinidae,Pimephales,Pimephales notatus,Bluntnose Minnow,11,17.6,fusiform,1.11248,2.75005,0.2167857,0.1267742,0.529953917,24.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Pimephales,Pimephales promelas,Fathead Minnow,10.1,18.3,fusiform,1.51105,2.395225,0.1945942,0.1633254,0.499082302,29.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Pimephales,Pimephales vigilax,Bullhead Minnow,9.2,18.5,fusiform,1.44955,2.600928,0.2827047,0.1837212,0.607769556,29.6,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,European Flounder,60,37.9,flat,0.611639,2.357199,0.464029,0.1371475,0.610478062,17.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula,Paddlefish,221,18.7,elongated,2.41399,4.379742,0.2214382,0.1092816,0.56573728,1.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Centrarchidae,Pomoxis,Pomoxis annularis,White Crappie,53,36.4,short/deep,1.61964,2.588014,0.2948354,0.2183369,0.459940079,19,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Centrarchidae,Pomoxis,Pomoxis nigromaculatus,Black Crappie,49,36.3,short/deep,1.56692,2.499158,0.3352829,0.2073281,0.518641217,18.5,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Prosopium,Prosopium coulterii,Pygmy Whitefish,28,15.1,elongated,1.53064,3.124844,0.3509297,0.1282472,0.656192237,28.7,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Prosopium,Prosopium cylindraceum,Round Whitefish,59,17.1,fusiform,2.58,3.413092,0.2914218,0.1170831,0.474733497,21.3,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Gobiiformes,Gobiidae,Proterorhinus,Proterorhinus semilunaris ,Western Tubenose Goby,9,13.85,fusiform,1.088228571,2.042635,0.5718834,0.2227635,0.724972731,18.8,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora parva,Topmouth Gudgeon,12.5,22.1,fusiform,1.74928,2.4125,0.245033113,0.141196013,0.430463576,28.5,FishBase,FishBase (n=2),DB,FishBase (n=2),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=2)
Gasterosteiformes,Gasterosteidae,Pungitius,Pungitius pungitius,Ninespine Stickleback,9,19.77,elongated,1.33653,6.947579,0.4747683,0.1555766,0.507155518,23.37,FishBase,FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=3)
Siluriformes,Ictaluridae,Pylodictis,Pylodictis olivaris,Flathead Catfish,155,19.4,elongated,1.185,2.055963,0.3181372,0.1553859,0.611500816,10.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys atratulus,Blacknose Dace,12.4,17.6,fusiform,1.38043,2.019528,0.3654813,0.1718867,0.571343077,23.8,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys cataractae,Longnose Dace,22.5,17,elongated,1.28457,2.297396,0.3536829,0.2027984,0.638211382,20.7,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Rutilus,Rutilus rutilus,Roach ,50.2,25,fusiform,1.47269,3.213865,0.2502727,0.1618402,0.455062235,23.85,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Salmoniformes,Salmonidae,Salmo,Salmo salar,Atlantic Salmon,150,19.73,fusiform,2.051,3.076443,0.2446201,0.1242126,0.467510023,12.3,FishBase,FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=3)
Salmoniformes,Salmonidae,Salmo,Salmo trutta,Brown Trout,140,19.95,fusiform,1.618,2.274148,0.2549835,0.141035,0.605609036,23.7,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Salmoniformes,Salmonidae,Salvelinus,Salvelinus alpinus,Arctic Char,107,19.57,fusiform,1.772,2.865442,0.3242597,0.1682862,0.640026718,17.8,FishBase,FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=3)
Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis,Brook Trout,86,26.4,fusiform,1.538,2.280605,0.2772304,0.153272,0.6354576,21.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Salmoniformes,Salmonidae,Salvelinus,Salvelinus namaycush,Lake Trout,150,19.1,fusiform,2.111,3.656679,0.2429204,0.1631333,0.642957227,11.8,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Sander,Sander canadensis,Sauger,76,21.7,elongated,1.26302,2.781518,0.2523166,0.1458291,0.491267055,14.8,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Percidae,Sander,Sander lucioperca,Pikeperch,127.23,18.5,elongated,1.38853,3.388259,0.3475585,0.1460195,0.388211694,13.6,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Perciformes,Percidae,Sander,Sander vitreus,Walleye,123.41,15.5,elongated,1.29389,2.900798,0.4178307,0.1405814,0.514283368,19.7,FishBase (Converted FL to TL using equation on FishBase),FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Scardinius,Scardinius erythrophthalmus,Rudd,61.7,29.6,fusiform,1.76594,3.09878,0.2927147,0.1794026,0.517721457,29.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Semotilus,Semotilus atromaculatus,Creek Chub,30.3,18.2,fusiform,1.10619,2.205654,0.2663538,0.1606491,0.509366999,20.6,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Semotilus,Semotilus corporalis,Fallfish,51,19.9,fusiform,1.85108,3.347581,0.2075585,0.1646135,0.698214922,21.6,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Siluridae,Silurus,Silurus glanis,Sheatfish,273,19.8,elongated,0.632578,2.200068,0.4235434,0.1060038,0.57179471,8,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus abaster,Black-striped Pipefish ,21,2.916666667,eel-like,0.512,NA,0.6957337,NA,0.798288795,11.76,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Salmoniformes,Salmonidae,Thymallus,Thymallus arcticus ,Arctic Grayling,76,18.1,fusiform,1.98211,2.729114,0.3012164,0.1499792,0.531716728,26.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Tinca,Tinca tinca,Tench,82.18,29.8,fusiform,1.44886,1.720607,0.247652,0.1934677,0.519115068,14.05,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Esociformes,Umbridae,Umbra,Umbra limi,Central Mudminnow,14,17.4,fusiform,1.16499,1.796132,0.2402701,0.1633104,0.505221803,21.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
